Formula              ✕,Band gap              ✕,Cond. band minimum              ✕,Val. band maximum              ✕,Work function (avg. if finite dipole)              ✕
Cr2Mo2S8,1.014,-0.453,-1.466,5.353
Ti2Zr2S8,0.845,-2.015,-2.86,6.299
HfMnI6,1.359,-0.989,-2.349,4.887
As4S6,2.255,-2.23,-4.485,4.628
Cr2F4,1.396,-2.568,-3.964,4.389
In2Te4,0.487,-2.772,-3.259,4.812
P8Si4,1.539,-2.218,-3.757,4.977
V4O8,0.304,-4.452,-4.756,6.739
Ag2Au2Cl8,0.909,-4.54,-5.449,6.352
Ca2Cl4O8,2.819,-0.585,-3.404,3.523
Cu2O6Si2,0.425,-4.233,-4.658,5.81
Cu2Hg2Cl2Se2,0.833,-2.902,-3.736,4.884
Hf2Br2N2,1.955,-1.078,-3.033,5.248
Mn2P2S6,0.108,-3.155,-3.263,5.221
Nb4Ge2Te8,0.416,-1.72,-2.135,4.415
NiPS3,0.075,-4.283,-4.358,5.336
Sn2O8S2,4.382,-2.378,-6.76,5.809
Tl2O6Sb2,2.828,-0.775,-3.603,3.836
BeH4O4P2,5.994,0.089,-5.904,3.748
InLiI4O12,2.788,-1.928,-4.716,5.632
Na2B2H8O8,4.681,-0.48,-5.161,3.649
V2F2O7Te2,1.013,-2.576,-3.588,4.607
NiC6Cl2H4N2,0.858,-3.124,-3.982,4.717
BP,0.898,-1.953,-2.851,4.678
Bi2S2,0.309,-0.246,-0.555,5.193
Ag2Te2,0.477,-2.076,-2.553,4.773
Tl2Cl2,3.629,-0.058,-3.687,3.872
Pd2F2,0.865,-3.019,-3.884,7.129
Fe2I2,0.013,0.446,0.433,3.556
Sn2H2,0.236,-2.568,-2.805,4.66
In2I2,1.787,-1.332,-3.119,3.908
Zn2I2,2.091,0.291,-1.799,4.448
In2Se2,1.404,-0.54,-1.944,5.209
Pb2S2,1.162,0.042,-1.121,3.927
SnS,2.289,-1.114,-3.403,4.937
BaCl2,5.192,-0.477,-5.67,4.845
CaCl2,5.784,0.293,-5.49,5.264
CdI2,1.49,-0.81,-2.3,5.005
CoCl2,0.351,-2.725,-3.076,6.067
GeS2,1.344,-1.379,-2.724,5.021
Hf2Br4,0.852,0.438,-0.414,3.845
HfO2,1.928,-2.565,-4.493,7.204
HgBr2,2.007,-2.606,-4.613,5.92
Ir4S8,0.692,-1.061,-1.754,5.342
MnCl2,1.797,-1.514,-3.311,5.4
Mo2S4,0.133,-2.248,-2.381,4.657
PbO2,1.125,-4.249,-5.374,7.25
PdBr2,0.198,-2.456,-2.654,5.577
PtF2,0.02,-4.325,-4.345,7.676
SnBr2,2.499,-1.193,-3.693,5.428
RuI2,1.022,0.225,-0.798,4.034
Sn2Se4,0.476,-1.19,-1.666,4.131
SrI2,3.916,-0.571,-4.486,4.616
TiO2,1.195,-3.833,-5.029,7.94
ZnBr2,3.272,-1.297,-4.57,5.258
Zr2I4,0.423,0.42,-0.003,3.898
ZrSe2,0.739,-1.494,-2.233,5.886
SrH2S2,3.805,0.467,-3.338,3.348
Au2MoTe4,0.217,-0.714,-0.93,4.047
Cu2WTe4,0.654,-0.66,-1.313,4.234
Ag2ReF6,1.024,-2.767,-3.791,5.348
Al2Cl6,3.842,-1.146,-4.988,5.694
Au2I6,0.012,-2.41,-2.422,5.518
Co2Br6,0.962,-2.038,-3.0,5.528
In2I6,1.597,-1.445,-3.042,5.305
Mn2I6,0.012,-2.266,-2.278,5.474
