Formula              ✕,Band gap              ✕,2D plasma frequency (x)              ✕,2D plasma frequency (y)              ✕,Band gap (G₀W₀)              ✕,Band gap (HSE06)              ✕,"Conduction band effective mass, direction 1              ✕","Conduction band effective mass, direction 2              ✕",Cond. band minimum              ✕,Conduction band minimum (G₀W₀)              ✕,Conduction band minimum (HSE06)              ✕,Dir. band gap              ✕,Direct band gap (G₀W₀)              ✕,Direct band gap (HSE06)              ✕,Dir. gap wo. soc.              ✕,Exc. bind. energy              ✕,Gap wo. soc.              ✕,Phonon dynamic stability (low/high)              ✕,Thermodynamic stability level              ✕,Energy              ✕,Vacuum level              ✕,"Valence band effective mass, direction 1              ✕","Valence band effective mass, direction 2              ✕",Val. band maximum              ✕,Valence band maximum (G₀W₀)              ✕,Valence band maximum (HSE06)              ✕,Work function (avg. if finite dipole)              ✕,First class material              ✕,Calculator              ✕,Anisotropic exchange (out-of-plane)              ✕,Area of unit-cell              ✕,Topology              ✕,Crystal type              ✕,DOS at ef              ✕,DOS at ef no soc.              ✕,Energy above convex hull              ✕,Fermi level              ✕,Heat of formation              ✕,Magnetic anisotropy (E<sub>z</sub> - E<sub>x</sub>)              ✕,Magnetic anisotropy (E<sub>z</sub> - E<sub>y</sub>)              ✕,Magnetic easy axis              ✕,Magnetic moment              ✕,Magnetic state              ✕,Material class              ✕,Material has inversion symmetry              ✕,Magnetic              ✕,Material unique ID              ✕,Maximum force              ✕,Maximum stress              ✕,Maximum value of S_z at magnetic sites              ✕,Minimum eigenvalue of Hessian              ✕,Monolayer reported DOI              ✕,Nearest neighbor exchange coupling              ✕,Charge              ✕,Number of atoms              ✕,Number of nearest neighbors              ✕,n-spins              ✕,Out-of-plane dipole along +z axis              ✕,Path to collection folder              ✕,PBC              ✕,Point group              ✕,Unique ID              ✕,Related COD id              ✕,Related ICSD id              ✕,Single-ion anisotropy (out-of-plane)              ✕,"Soc. total energy, x-direction              ✕","Soc. total energy, y-direction              ✕","Soc. total energy, z-direction              ✕",Space group              ✕,Space group number              ✕,Speed of sound (x)              ✕,Speed of sound (y)              ✕,Static interband polarizability (x)              ✕,Static interband polarizability (y)              ✕,Static interband polarizability (z)              ✕,Static lattice polarizability (x)              ✕,Static lattice polarizability (y)              ✕,Static lattice polarizability (z)              ✕,Static total polarizability (x)              ✕,Static total polarizability (y)              ✕,Static total polarizability (z)              ✕,Stiffness dynamic stability (low/high)              ✕,"Stiffness tensor, 11-component              ✕","Stiffness tensor, 12-component              ✕","Stiffness tensor, 13-component              ✕","Stiffness tensor, 21-component              ✕","Stiffness tensor, 22-component              ✕","Stiffness tensor, 23-component              ✕","Stiffness tensor, 31-component              ✕","Stiffness tensor, 32-component              ✕","Stiffness tensor, 33-component              ✕",Stoichiometry              ✕,Mass              ✕,Age              ✕,ID              ✕,Unique identifier              ✕,Username              ✕,Vacuum level difference              ✕,Volume              ✕
Sb4,0.18,-,-,-,-,0.008,0.025,-0.174,-,-,0.18,-,-,0.133,-,0.133,low,1,-17.264,3.546,-0.029,-0.008,-0.354,-,-,3.81,True,unknown,-,21.262,-,A-53-h,0.0,0.0,0.09,-0.264,0.09,0.0,0.0,z,-,NM,-,True,False,e7b31f8232bbd9eb2a1313a8c427bba4,-,-,-,-0.538,-,-,0.0,4,-,1,0.0,tree/A/Sb/Sb4-e7b31f8232bb,TTF,mmm,891d25f0420bd2c8e89d007902246528,-,42678,-,0.0,0.0,0.0,Pmna,53,3332.345,2045.749,-,-,-,-,-,-,-,-,-,high,42.238,19.399,-0.008,18.656,15.919,-0.022,-0.007,0.004,37.507,A,487.04,6w,3807,Sb4-e7b31f8232bb,cmr,0.0,363.798
V3B2H2S2,0.0,5.276,5.302,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,high,2,-57.239,4.589,-,-,-,-,-,2.144,True,unknown,-,9.494,-,A2B2C2D3-187-dghi,2.298,2.308,0.326,2.445,-0.384,0.0,0.0,z,-,NM,-,False,False,1233cf7c3eae5eaf3fa94ea8641b8619,-,-,-,-0.000,-,-,0.0,9,-,1,-0.0,tree/A2B2C2D3/B2H2S2V3/B2H2S2V3-1233cf7c3eae,TTF,-6m2,b7dfefc8661655b5ada351da56094363,-,-,-,0.0,0.0,0.0,P-6m2,187,6841.772,6846.235,29.065,29.091,0.775,-,-,-,-,-,-,high,196.975,69.741,0.089,69.507,197.232,0.157,0.018,0.021,128.226,A2B2C2D3,240.581,6w,3808,B2H2S2V3-1233cf7c3eae,cmr,-0.0,229.942
Ta3C2H2O2,0.0,10.615,10.615,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,low,2,-72.652,5.887,-,-,-,-,-,2.394,True,unknown,-,8.492,-,A2B2C2D3-187-aghi,3.331,2.719,0.305,3.493,-0.874,0.0,0.0,z,-,NM,MXene,False,False,facb6e10c51d1feaa4928f5e86b7ad70,-,-,-,-6.036,-,-,0.0,9,-,1,0.0,tree/A2B2C2D3/C2H2O2Ta3/C2H2O2Ta3-facb6e10c51d,TTF,-6m2,f132fef89352722ad12922493eb91301,-,-,-,0.0,0.0,0.0,P-6m2,187,4532.817,4544.502,59.497,59.497,1.504,-,-,-,-,-,-,high,241.419,2.321,-0.109,1.877,242.665,-0.141,0.0,0.0,245.296,A2B2C2D3,600.88,6w,3809,C2H2O2Ta3-facb6e10c51d,cmr,0.0,211.447
Mo3H2N2O2,0.0,16.042,16.042,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,low,2,-72.562,6.647,-,-,-,-,-,2.463,True,unknown,-,7.036,-,A2B2C2D3-187-bghi,3.589,3.597,0.327,4.184,-0.595,0.0,0.0,z,-,NM,MXene,False,False,bbf1fbcbad33f86bb52297305d0187e0,-,-,-,-0.047,-,-,0.0,9,-,1,-0.0,tree/A2B2C2D3/H2N2O2Mo3/H2N2O2Mo3-bbf1fbcbad33,TTF,-6m2,722b64f9bb23dcbdf69ff51e3d5d0c18,-,-,-,0.0,0.0,0.0,P-6m2,187,6490.527,6460.151,99.998,99.998,9.572,-,-,-,-,-,-,high,347.837,200.257,-0.325,194.53,344.589,-0.03,0.0,0.0,148.233,A2B2C2D3,349.878,6w,3810,H2N2O2Mo3-bbf1fbcbad33,cmr,-0.001,179.05
Hf3C2F2,0.0,2.660,2.660,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,high,3,-57.516,5.896,-,-,-,-,-,2.944,True,unknown,-,9.42,-,A2B2C3-187-bghi,0.199,0.177,0.0,2.952,-1.912,0.0,0.0,z,-,NM,MXene,False,False,f3d4a4a7dde4d2dfe7c826153a4483e2,-,-,-,-0.000,-,-,0.0,7,-,1,0.0,tree/A2B2C3/C2F2Hf3/C2F2Hf3-f3d4a4a7dde4,TTF,-6m2,b04e262bae3091ed0d0dd0be2b3b5571,-,-,-,0.0,0.0,0.0,P-6m2,187,5520.617,5516.603,17.504,17.504,0.550,-,-,-,-,-,-,high,321.002,67.138,-0.0,66.887,320.535,-0.001,0.0,0.0,253.504,A2B2C3,597.489,6w,3811,C2F2Hf3-f3d4a4a7dde4,cmr,0.0,213.758
Nb3C2O2,0.0,7.995,7.995,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,high,3,-69.264,7.027,-,-,-,-,-,5.194,True,unknown,-,8.531,-,A2B2C3-187-aghi,3.189,3.198,0.114,1.832,-1.371,0.0,0.0,z,-,NM,MXene,False,False,1c8352a388fb895fff793d51674814d4,-,-,-,-0.000,-,-,0.0,7,-,1,-0.0,tree/A2B2C3/C2O2Nb3/C2O2Nb3-1c8352a388fb,TTF,-6m2,e5da1c8c2b970baebfb031f31a059eb5,-,-,-,0.0,0.0,0.0,P-6m2,187,7626.016,7617.025,31.477,31.477,0.588,-,-,-,-,-,-,high,378.943,69.369,0.005,69.721,378.05,0.025,0.0,0.0,311.112,A2B2C3,334.739,6w,3812,C2O2Nb3-1c8352a388fb,cmr,-0.0,189.465
Cr4C3H2O2,0.0,4.489,4.489,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,high,2,-86.734,4.79,-,-,-,-,-,1.564,True,unknown,-,7.863,-,A2B2C3D4-164-bcd,6.053,6.803,0.262,3.226,-0.413,-0.242,-0.242,z,1.991,FM,MXene,True,True,6b206ce0e0a4bc7a4d123af7e259b316,-,-,-,0.000,-,-,0.0,11,-,2,0.0,tree/A2B2C3D4/H2O2C3Cr4/H2O2C3Cr4-6b206ce0e0a4,TTF,-3m,95147258e9e133cbdfa10de3a4490784,-,-,-,-150661.101,-150661.1,-150661.343,P-3m1,164,7648.196,7637.099,93.397,93.397,3.691,-,-,-,-,-,-,high,343.467,125.093,-0.193,126.481,342.471,-0.206,0.0,0.0,211.933,A2B2C3D4,278.031,6w,3814,H2O2C3Cr4-6b206ce0e0a4,cmr,0.001,205.009
Mo4H2N3O2,0.0,5.983,5.983,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,high,2,-92.778,6.224,-,-,-,-,-,1.89,True,unknown,-,9.069,-,A2B2C3D4-164-bcd,2.224,2.21,0.295,4.335,-0.547,0.0,0.0,z,-,NM,MXene,True,False,f9b42b34c5ab9fa3086cea88fb73952c,-,-,-,-0.000,-,-,0.0,11,-,1,0.0,tree/A2B2C3D4/H2O2N3Mo4/H2O2N3Mo4-f9b42b34c5ab,TTF,-3m,ccae867b39066cc71b432dfdb05a0eab,-,-,-,0.0,0.0,0.0,P-3m1,164,7302.958,7256.79,39.941,39.941,2.169,-,-,-,-,-,-,high,449.059,192.42,0.04,196.894,443.399,0.051,0.0,0.0,248.559,A2B2C3D4,459.835,6w,3815,H2O2N3Mo4-f9b42b34c5ab,cmr,0.001,236.585
Mo3C2,0.0,10.513,10.513,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,high,1,-49.759,7.173,-,-,-,-,-,4.813,True,unknown,-,7.364,-,A2B3-187-bhi,2.275,2.233,0.631,2.36,0.457,0.0,0.0,z,-,NM,MXene,False,False,fed05e32ce3ff1aa666ef4959eab85f4,-,-,-,-0.000,-,-,0.0,5,-,1,-0.0,tree/A2B3/C2Mo3/C2Mo3-fed05e32ce3f,TTF,-6m2,89e49595bb0208acf875efde5094fe8e,-,-,-,0.0,0.0,0.0,P-6m2,187,6918.214,6941.321,36.237,36.237,0.839,-,-,-,-,-,-,high,336.604,60.5,-0.013,60.224,338.856,-0.012,0.0,0.0,280.527,A2B3,311.872,6w,3816,C2Mo3-fed05e32ce3f,cmr,-0.0,149.342
Ta3N2,0.0,8.133,8.133,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,high,2,-47.698,7.656,-,-,-,-,-,5.29,True,unknown,-,7.445,-,A2B3-187-bhi,2.995,2.961,0.765,2.366,-0.309,0.0,0.0,z,-,NM,MXene,False,False,3791f84b8f5119a4a4c0b6fc3dbeaa43,-,-,-,-0.000,-,-,0.0,5,-,1,-0.0,tree/A2B3/N2Ta3/N2Ta3-3791f84b8f51,TTF,-6m2,8daa19948c72b194f797f34af30e60a7,-,-,-,0.0,0.0,0.0,P-6m2,187,5067.34,5134.275,55.078,55.078,2.129,-,-,-,-,-,-,high,326.936,142.661,0.032,147.264,335.63,-0.037,0.0,0.0,186.193,A2B3,570.858,6w,3817,N2Ta3-3791f84b8f51,cmr,-0.0,153.659
Ta4C3F2,0.0,13.701,13.701,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,low,3,-80.801,7.859,-,-,-,-,-,4.315,True,unknown,-,8.611,-,A2B3C4-164-bcd,2.345,2.497,0.138,3.543,-1.189,0.0,0.0,z,-,NM,MXene,True,False,b082203eaa7b78772505486d4681d7f7,-,-,-,-4.498,-,-,0.0,9,-,1,-0.0,tree/A2B3C4/F2C3Ta4/F2C3Ta4-b082203eaa7b,TTF,-3m,24eb96f6254dd9163543c95f83c03a94,-,-,-,0.0,0.0,0.0,P-3m1,164,5270.301,5267.775,148.951,148.951,0.770,-,-,-,-,-,-,high,427.353,74.937,-0.004,74.506,426.944,-0.004,0.0,0.0,350.207,A2B3C4,797.821,6w,3818,F2C3Ta4-b082203eaa7b,cmr,-0.006,218.258
Y4F2N3,0.0,9.499,9.499,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,high,3,-69.107,6.05,-,-,-,-,-,2.816,True,unknown,-,10.407,-,A2B3C4-164-bcd,0.973,0.955,0.0,3.235,-2.457,0.0,0.0,z,-,NM,MXene,True,False,068b646bfbdc05abea14b7a58418baaf,-,-,-,-0.000,-,-,0.0,9,-,1,-0.0,tree/A2B3C4/F2N3Y4/F2N3Y4-068b646bfbdc,TTF,-3m,6ea70ed596cc5a69cd31802c1cfdc8c1,-,-,-,0.0,0.0,0.0,P-3m1,164,6810.145,6809.589,5.125,5.125,0.808,-,-,-,-,-,-,high,322.375,74.493,-0.007,74.353,322.322,-0.014,0.0,0.0,251.157,A2B3C4,435.641,6w,3819,F2N3Y4-068b646bfbdc,cmr,-0.002,267.091
Hf4N3O2,0.0,14.013,14.013,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,high,3,-85.216,8.012,-,-,-,-,-,4.579,True,unknown,-,8.994,-,A2B3C4-164-bcd,2.411,2.621,0.09,3.433,-2.21,0.0,0.0,z,-,NM,MXene,True,False,ff5ae22cc0bb7c3f9c5b99b5a0d66760,-,-,-,-0.000,-,-,0.0,9,-,1,-0.0,tree/A2B3C4/O2N3Hf4/O2N3Hf4-ff5ae22cc0bb,TTF,-3m,86f79d41ae5317ac3e7058c5ee6e61c5,-,-,-,0.0,0.0,0.0,P-3m1,164,5500.454,5507.846,177.252,177.252,0.769,-,-,-,-,-,-,high,440.178,117.377,-0.534,117.925,441.362,-0.508,0.0,0.0,317.015,A2B3C4,787.979,6w,3820,O2N3Hf4-ff5ae22cc0bb,cmr,-0.002,223.704
Nb4C3,0.0,7.146,7.146,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,high,2,-70.849,7.741,-,-,-,-,-,4.411,True,unknown,-,8.477,-,A3B4-164-bcd,2.619,2.593,0.366,3.33,-0.269,0.0,0.0,z,-,NM,MXene,True,False,f5f398220510a6cc63b40fe83fac81a5,-,-,-,-0.000,10.1039/C4CC03366C,-,0.0,7,-,1,0.0,tree/A3B4/C3Nb4/C3Nb4-f5f398220510,TTF,-3m,5e222ed7c4d1c9aff92a7732e46dbd0a,-,-,-,0.0,0.0,0.0,P-3m1,164,7630.179,7629.321,75.182,75.182,1.023,-,-,-,-,-,-,high,464.889,133.439,0.021,133.416,464.784,0.018,0.0,0.0,327.809,A3B4,407.658,6w,3821,C3Nb4-f5f398220510,cmr,0.0,191.678
Ti4N3,0.0,6.973,6.973,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,high,3,-60.611,7.06,-,-,-,-,-,4.651,True,unknown,-,7.721,-,A3B4-164-bcd,7.428,7.43,0.145,2.409,-1.256,0.0,0.0,z,-,NM,MXene,True,False,60767d391cd917ca9664da00b8f48713,-,-,-,-0.000,-,-,0.0,7,-,1,-0.0,tree/A3B4/N3Ti4/N3Ti4-60767d391cd9,TTF,-3m,99cd22cd477d7287f04b0d5687d63f20,-,-,-,0.0,0.0,0.0,P-3m1,164,8812.862,8810.696,222.249,222.249,0.901,-,-,-,-,-,-,high,390.008,95.395,-0.015,95.34,389.817,-0.024,0.0,0.0,296.04,A3B4,233.489,6w,3822,N3Ti4-60767d391cd9,cmr,-0.0,171.65
