Formula              ✕,Band gap              ✕,2D plasma frequency (x)              ✕,2D plasma frequency (y)              ✕,Band gap (G₀W₀)              ✕,Band gap (HSE06)              ✕,"Conduction band effective mass, direction 1              ✕","Conduction band effective mass, direction 2              ✕",Cond. band minimum              ✕,Conduction band minimum (G₀W₀)              ✕,Conduction band minimum (HSE06)              ✕,Dir. band gap              ✕,Direct band gap (G₀W₀)              ✕,Direct band gap (HSE06)              ✕,Dir. gap wo. soc.              ✕,Exc. bind. energy              ✕,Gap wo. soc.              ✕,Phonon dynamic stability (low/high)              ✕,Thermodynamic stability level              ✕,Energy              ✕,Vacuum level              ✕,"Valence band effective mass, direction 1              ✕","Valence band effective mass, direction 2              ✕",Val. band maximum              ✕,Valence band maximum (G₀W₀)              ✕,Valence band maximum (HSE06)              ✕,Work function (avg. if finite dipole)              ✕,First class material              ✕,Calculator              ✕,Anisotropic exchange (out-of-plane)              ✕,Area of unit-cell              ✕,Topology              ✕,Crystal type              ✕,DOS at ef              ✕,DOS at ef no soc.              ✕,Energy above convex hull              ✕,Fermi level              ✕,Heat of formation              ✕,Magnetic anisotropy (E<sub>z</sub> - E<sub>x</sub>)              ✕,Magnetic anisotropy (E<sub>z</sub> - E<sub>y</sub>)              ✕,Magnetic easy axis              ✕,Magnetic moment              ✕,Magnetic state              ✕,Material class              ✕,Material has inversion symmetry              ✕,Magnetic              ✕,Material unique ID              ✕,Maximum force              ✕,Maximum stress              ✕,Maximum value of S_z at magnetic sites              ✕,Minimum eigenvalue of Hessian              ✕,Monolayer reported DOI              ✕,Nearest neighbor exchange coupling              ✕,Charge              ✕,Number of atoms              ✕,Number of nearest neighbors              ✕,n-spins              ✕,Out-of-plane dipole along +z axis              ✕,Path to collection folder              ✕,PBC              ✕,Point group              ✕,Unique ID              ✕,Related COD id              ✕,Related ICSD id              ✕,Single-ion anisotropy (out-of-plane)              ✕,"Soc. total energy, x-direction              ✕","Soc. total energy, y-direction              ✕","Soc. total energy, z-direction              ✕",Space group              ✕,Space group number              ✕,Speed of sound (x)              ✕,Speed of sound (y)              ✕,Static interband polarizability (x)              ✕,Static interband polarizability (y)              ✕,Static interband polarizability (z)              ✕,Static lattice polarizability (x)              ✕,Static lattice polarizability (y)              ✕,Static lattice polarizability (z)              ✕,Static total polarizability (x)              ✕,Static total polarizability (y)              ✕,Static total polarizability (z)              ✕,Stiffness dynamic stability (low/high)              ✕,"Stiffness tensor, 11-component              ✕","Stiffness tensor, 12-component              ✕","Stiffness tensor, 13-component              ✕","Stiffness tensor, 21-component              ✕","Stiffness tensor, 22-component              ✕","Stiffness tensor, 23-component              ✕","Stiffness tensor, 31-component              ✕","Stiffness tensor, 32-component              ✕","Stiffness tensor, 33-component              ✕",Stoichiometry              ✕,Mass              ✕,Age              ✕,ID              ✕,Unique identifier              ✕,Username              ✕,Vacuum level difference              ✕,Volume              ✕
Ir2I2,0.0,-,-,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,low,1,-18.239,3.892,-,-,-,-,-,3.473,True,unknown,-,16.34,-,AB-129-bc,1.623,4.564,0.922,0.419,0.817,0.0,0.0,z,-,NM,-,True,False,e3ff736a75ab7d00f6700a6c1ea78f92,-,-,-,-11.951,-,-,0.0,4,-,1,0.0,tree/AB/IIr/I2Ir2-e3ff736a75ab,TTF,4/mmm,8df1a7aced7d964161e725aa56f92da0,-,-,-,0.0,0.0,0.0,P4/nmm,129,2360.609,2346.053,-,-,-,-,-,-,-,-,-,high,36.143,14.211,0.001,14.969,35.699,0.001,-0.000,0.000,64.853,AB,638.243,6w,1425,I2Ir2-e3ff736a75ab,cmr,0.0,309.808
Pt2I2,0.0,-,-,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,low,1,-14.4,4.319,-,-,-,-,-,3.972,True,unknown,-,14.476,-,AB-164-d,3.169,4.534,0.442,0.347,0.316,0.0,0.0,z,-,NM,-,True,False,95709f9463f34d4e1328827554d2806e,-,-,-,-0.729,-,-,0.0,4,-,1,-0.0,tree/AB/IPt/I2Pt2-95709f9463f3,TTF,-3m,abdfc3534579e8e75cf095c7216309d1,-,-,-,0.0,0.0,0.0,P-3m1,164,2303.175,2359.232,-,-,-,-,-,-,-,-,-,high,39.186,6.122,-0.459,7.290,41.117,-0.011,-0.242,0.150,30.504,AB,643.977,6w,1426,I2Pt2-95709f9463f3,cmr,-0.001,272.953
Sr2I2,0.0,1.351,1.351,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,low,2,-9.624,2.687,-,-,-,-,-,3.627,True,unknown,-,28.808,-,AB-129-bc,0.428,0.421,0.477,-0.94,-0.83,0.11,0.11,y,1.888,FM,-,True,True,47ade6b3fdbd64297a8beea1cf621517,-,-,-,-0.651,-,-,0.0,4,-,2,-0.0,tree/AB/ISr/I2Sr2-47ade6b3fdbd,TTF,4/mmm,90ae0923f0d4df0486933707a69636a9,-,-,-,-514872.281,-514872.281,-514872.171,P4/nmm,129,4711.358,4739.414,-,-,-,-,-,-,-,-,-,high,54.896,-51.566,-0.003,-51.513,55.551,-0.003,-0.000,0.000,18.939,AB,429.049,6w,1427,I2Sr2-47ade6b3fdbd,cmr,-0.0,568.191
Zr2I2,0.0,1.243,1.270,-,0.020,-,-,-,-,0.946,0.0,-,0.055,0.0,-,0.0,low,2,-18.124,3.958,-,-,-,-,0.926,3.077,True,unknown,-,17.279,-,AB-164-d,1.219,1.076,0.591,0.88,-0.09,0.0,0.0,z,-,NM,-,True,False,cbda059bd5351effe05dafef13ebb59f,-,-,-,-0.345,-,-,0.0,4,-,1,0.0,tree/AB/IZr/I2Zr2-cbda059bd535,TTF,-3m,5ac2a3bd241ad6b67ee53bb926a4d81e,-,-,-,0.0,0.0,0.0,P-3m1,164,2386.643,2388.566,-,-,-,-,-,-,-,-,-,low,23.881,32.974,-0.003,32.692,23.920,0.001,-0.005,-0.007,-6.860,AB,436.257,6w,1428,I2Zr2-cbda059bd535,cmr,0.0,325.801
In2Te2,0.0,10.574,10.574,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,low,2,-12.229,2.318,-,-,-,-,-,4.096,True,unknown,-,36.202,-,AB-123-bd,1.08,1.099,0.277,-1.778,-0.073,0.0,0.0,z,-,NM,-,True,False,49131827d51a52f330daa034c356200d,-,-,-,-2.231,-,-,0.0,4,-,1,-0.0,tree/AB/InTe/In2Te2-49131827d51a,TTF,4/mmm,f23bcceda55e192c40f89e080dcbf327,-,-,-,0.0,0.0,0.0,P4/mmm,123,4434.832,4434.832,2.710,2.710,0.234,-,-,-,-,-,-,high,43.739,11.392,-0.000,11.392,43.739,-0.000,0.000,0.000,19.283,AB,484.836,6w,1429,In2Te2-49131827d51a,cmr,-0.0,543.029
Ir2Te2,0.0,9.083,9.083,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,low,1,-23.787,4.349,-,-,-,-,-,4.048,True,unknown,-,13.868,-,AB-187-hi,3.384,2.518,0.544,0.302,0.294,0.0,0.0,z,-,NM,-,False,False,005b8d7773e602dab73ed7613c7ab4cb,-,-,-,-2.066,-,-,0.0,4,-,1,-0.0,tree/AB/IrTe/Ir2Te2-005b8d7773e6,TTF,-6m2,f6426eeeb4676db6ea9f1563ecae331f,-,-,-,0.0,0.0,0.0,P-6m2,187,2302.941,2310.187,14.085,14.085,0.709,-,-,-,-,-,-,high,40.621,7.310,-0.008,7.492,40.877,-0.009,0.000,0.000,34.299,AB,639.634,6w,1430,Ir2Te2-005b8d7773e6,cmr,-0.0,274.54
Mo2S2,0.0,3.711,3.711,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,low,2,-31.281,5.955,-,-,-,-,-,5.441,True,unknown,-,8.221,-,AB-187-hi,0.652,0.618,0.511,0.514,-0.18,0.0,0.0,z,-,NM,-,False,False,925d20f42e313db252acaedff7f0ce41,-,-,-,-5.493,-,-,0.0,4,-,1,-0.0,tree/AB/MoS/Mo2S2-925d20f42e31,TTF,-6m2,40ce8abbf0bc8134fb590f73ad22e12e,-,-,-,0.0,0.0,0.0,P-6m2,187,4514.012,4517.298,57.045,57.045,0.830,-,-,-,-,-,-,high,105.378,5.412,-0.023,4.993,105.531,-0.026,0.000,0.000,100.221,AB,256.02,6w,1431,Mo2S2-925d20f42e31,cmr,-0.0,170.334
Nb2S2,0.0,4.558,4.581,-,0.000,-,-,-,-,-,0.0,-,0.000,0.0,-,0.0,high,2,-31.7,3.994,-,-,-,-,-,3.843,True,unknown,-,13.511,-,AB-164-d,1.807,1.854,0.323,0.152,-0.723,0.0,0.0,z,-,NM,-,True,False,31254123feb926ff0d3ecb1e06d7c678,-,-,-,-0.000,-,-,0.0,4,-,1,-0.0,tree/AB/NbS/Nb2S2-31254123feb9,TTF,-3m,8236c8e3374139be29291d369a9eaa95,-,-,-,0.0,0.0,0.0,P-3m1,164,5224.941,5223.304,12.810,13.061,0.381,-,-,-,-,-,-,high,83.860,78.158,-0.023,77.956,83.808,-0.027,-0.001,-0.002,6.565,AB,249.933,6w,1432,Nb2S2-31254123feb9,cmr,-0.0,254.755
Ni2O2,0.0,7.158,7.164,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,high,3,-26.409,1.796,-,-,-,-,-,4.919,True,unknown,0.625,14.879,-,AB-123-bd,2.407,2.411,0.115,-3.123,-0.417,-1.054,-1.054,z,2.275,FM,-,True,True,928c7a5db4e0b4e9612bd48427579316,-,-,0.500,-0.000,-,47.524,0.0,4,4,2,-0.0,tree/AB/NiO/Ni2O2-928c7a5db4e0,TTF,4/mmm,b677b16668e5bfcf1443788458da4ea6,-,-,0,-1058925.107,-1058925.107,-1058926.162,P4/mmm,123,8828.589,8823.734,2.935,2.929,0.219,-,-,-,-,-,-,high,129.945,67.525,0.000,67.655,129.802,0.000,0.000,0.000,56.806,AB,149.385,6w,1433,Ni2O2-928c7a5db4e0,cmr,-0.0,255.833
Ni2Te2,0.0,9.296,9.296,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,high,1,-20.518,3.539,-,-,-,-,-,4.453,True,unknown,-,15.029,-,AB-187-hi,2.652,2.664,0.299,-0.914,0.096,0.0,0.0,z,-,NM,-,False,False,9e9409db468d790ecd96643448b94258,-,-,-,-0.000,-,-,0.0,4,-,1,0.0,tree/AB/NiTe/Ni2Te2-9e9409db468d,TTF,-6m2,bb0e4941856824897c6928b56276d007,-,-,-,0.0,0.0,0.0,P-6m2,187,4290.764,4289.735,13.274,13.274,0.464,-,-,-,-,-,-,high,75.792,55.654,-0.000,55.864,75.756,-0.003,0.000,0.000,21.199,AB,372.587,6w,1434,Ni2Te2-9e9409db468d,cmr,0.0,272.69
Rh2O2,0.0,5.863,5.877,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,low,1,-23.873,2.421,-,-,-,-,-,5.308,True,unknown,-,15.553,-,AB-129-bc,4.051,3.785,0.794,-2.887,0.168,0.0,0.0,z,-,NM,-,True,False,457201c2b7f6b3f19a2dfa91122838ea,-,-,-,-3.644,-,-,0.0,4,-,1,0.0,tree/AB/ORh/O2Rh2-457201c2b7f6,TTF,4/mmm,315f3fa902adfc1795c217ffe6c39c3d,-,-,-,0.0,0.0,0.0,P4/nmm,129,5840.971,5748.620,18.070,18.359,0.296,-,-,-,-,-,-,low,86.623,37.676,-0.000,39.928,83.905,-0.000,0.000,0.000,-12.773,AB,237.809,6w,1435,O2Rh2-457201c2b7f6,cmr,0.0,270.653
Ti2O2,0.0,4.523,5.512,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,high,2,-31.165,2.413,-,-,-,-,-,4.37,True,unknown,-,15.463,-,AB-10-bdm,2.235,2.094,0.651,-1.957,-1.884,0.034,0.027,x,0.954,FM,-,True,True,f43fbd954237cad6e1da90b40afab93f,-,-,-,-0.000,-,-,0.0,4,-,2,-0.0,tree/AB/OTi/O2Ti2-f43fbd954237,TTF,2/m,82d45cffa84125888e007adeed8daea1,-,-,-,-856122.62,-856122.612,-856122.586,P2/m,10,8382.583,6137.170,10.886,12.724,0.252,-,-,-,-,-,-,high,96.386,8.210,-0.000,7.831,51.665,-0.000,0.000,0.000,44.709,AB,127.732,6w,1436,O2Ti2-f43fbd954237,cmr,-0.0,266.734
BiS2,0.0,5.361,5.370,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,low,1,-12.404,2.57,-,-,-,-,-,5.897,True,unknown,-,17.63,-,AB2-115-dg,2.85,1.852,0.448,-3.327,0.142,0.0,0.0,z,-,NM,-,False,False,1511aac9b924e28b0ecab19bb9cfc1ae,-,-,-,-1.286,-,-,0.0,3,-,1,-0.0,tree/AB2/BiS2/BiS2-1511aac9b924,TTF,-42m,35701a2c70bbfa1ed05c893e3dbd5697,-,-,-,0.0,0.0,0.0,P-4m2,115,1687.853,1687.853,2.665,2.664,0.347,-,-,-,-,-,-,low,7.328,21.896,0.000,21.896,7.328,0.000,0.000,-0.000,0.602,AB2,273.1,6w,1458,BiS2-1511aac9b924,cmr,-0.0,327.529
Nb2C,0.0,8.459,8.459,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,high,1,-29.02,4.84,-,-,-,-,-,4.536,True,unknown,-,8.406,-,AB2-164-bd,2.884,2.857,0.837,0.304,0.284,0.0,0.0,z,-,NM,MXene,True,False,198d318e2c435ab7d4979deb9e906281,-,-,-,-0.000,-,-,0.0,3,-,1,-0.0,tree/AB2/CNb2/CNb2-198d318e2c43,TTF,-3m,896c3dcbc5c4591c698554bc3494be1e,-,-,-,0.0,0.0,0.0,P-3m1,164,6739.634,6732.243,44.442,44.442,0.503,-,-,-,-,-,-,high,177.506,70.859,0.037,71.466,177.116,0.043,0.000,0.000,105.951,AB2,197.824,6w,1459,CNb2-198d318e2c43,cmr,-0.0,145.858
Os2S2,0.0,9.708,9.708,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,low,1,-29.497,4.573,-,-,-,-,-,4.226,True,unknown,-,11.32,-,AB-187-hi,2.436,2.994,0.546,0.348,0.26,0.0,0.0,z,-,NM,-,False,False,f33f76148f2bf4216288fe2b23accb5e,-,-,-,-0.019,-,-,0.0,4,-,1,0.0,tree/AB/OsS/Os2S2-f33f76148f2b,TTF,-6m2,755719cd478f6ef43fcad4eae0ac4b0f,-,-,-,0.0,0.0,0.0,P-6m2,187,3536.602,3527.571,18.244,18.244,0.581,-,-,-,-,-,-,high,81.571,21.270,0.056,21.989,81.155,0.056,0.000,0.000,57.240,AB,444.58,6w,1437,Os2S2-f33f76148f2b,cmr,0.0,217.424
Pb2Se2,0.0,3.592,6.025,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,low,2,-15.364,2.982,-,-,-,-,-,4.684,True,unknown,-,22.5,-,AB-6-ab,2.736,2.406,0.362,-1.703,-0.22,0.0,0.0,z,-,NM,-,False,False,92c17785fc985aff5e3eed6618d4522d,-,-,-,-1.388,-,-,0.0,4,-,1,0.033,tree/AB/PbSe/Pb2Se2-92c17785fc98,TTF,m,39ff5f977599f278f06afd27091eeda4,-,-,-,0.0,0.0,0.0,Pm,6,1663.375,2904.698,12.047,10.420,0.387,-,-,-,-,-,-,low,11.687,4.318,67.698,4.355,35.639,243.094,0.000,0.000,-4.783,AB,572.342,6w,1438,Pb2Se2-92c17785fc98,cmr,0.268,397.081
Pd2Se2,0.0,8.923,8.928,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,low,1,-14.37,3.981,-,-,-,-,-,5.192,True,unknown,-,12.449,-,AB-164-cd,3.839,3.845,0.406,-1.211,0.059,0.0,0.0,z,-,NM,-,True,False,cdaa6be98138fb8ade60323e29680704,-,-,-,-0.649,-,-,0.0,4,-,1,-0.0,tree/AB/PdSe/Pd2Se2-cdaa6be98138,TTF,-3m,af9a03f94277a2b0c183fa49f382d61c,-,-,-,0.0,0.0,0.0,P-3m1,164,1697.702,1551.874,25.682,25.664,0.584,-,-,-,-,-,-,low,14.255,17.058,-0.045,19.498,11.911,-0.021,0.048,-0.045,-7.358,AB,370.782,6w,1439,Pd2Se2-cdaa6be98138,cmr,-0.0,246.338
Pt2Te2,0.0,9.561,9.607,-,0.000,-,-,-,-,-,0.0,-,0.000,0.0,-,0.0,high,3,-19.985,4.413,-,-,-,-,-,4.255,True,unknown,-,14.101,-,AB-164-d,2.006,2.073,0.164,0.157,-0.217,0.0,0.0,z,-,NM,-,True,False,2b568d0ec582eee1840a172e940e4d7c,-,-,-,-0.000,-,-,0.0,4,-,1,-0.0,tree/AB/PtTe/Pt2Te2-2b568d0ec582,TTF,-3m,8aaf5b4b7a4080b36b7882fdda1599e4,-,-,-,0.0,0.0,0.0,P-3m1,164,1961.425,1998.584,11.216,11.739,0.592,-,-,-,-,-,-,high,29.238,2.633,-0.009,2.237,30.356,0.010,-0.019,-0.020,27.440,AB,645.368,6w,1440,Pt2Te2-2b568d0ec582,cmr,-0.0,265.89
Re2Te2,0.0,7.693,7.713,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,low,1,-27.996,4.217,-,-,-,-,-,3.443,True,unknown,-,15.588,-,AB-129-bc,3.434,3.199,0.501,0.773,0.432,0.0,0.0,z,-,NM,-,True,False,d4589432a3bf4f7da5249ea1b84b71b2,-,-,-,-0.470,-,-,0.0,4,-,1,0.0,tree/AB/ReTe/Re2Te2-d4589432a3bf,TTF,4/mmm,c8f58f27a0b641c97aeb1378eeca2e7e,-,-,-,0.0,0.0,0.0,P4/nmm,129,3784.501,3784.502,13.044,13.037,0.496,-,-,-,-,-,-,low,95.754,48.684,-0.002,48.684,95.754,-0.002,0.000,0.000,-10.378,AB,627.614,6w,1441,Re2Te2-d4589432a3bf,cmr,0.0,285.849
Rh2Te2,0.0,9.246,9.340,-,0.000,-,-,-,-,-,0.0,-,0.000,0.0,-,0.0,high,3,-21.904,3.838,-,-,-,-,-,4.2,True,unknown,-,15.162,-,AB-164-d,2.138,2.094,0.09,-0.362,-0.3,0.0,0.0,z,-,NM,-,True,False,a20799ca37f3d44c38dbb8a93717aa1d,-,-,-,-0.000,-,-,0.0,4,-,1,0.0,tree/AB/RhTe/Rh2Te2-a20799ca37f3,TTF,-3m,7e2cf91ecfbe0b4742159dad2c090ea2,-,-,-,0.0,0.0,0.0,P-3m1,164,3432.486,3419.631,24.554,24.144,0.586,-,-,-,-,-,-,high,59.486,41.682,-0.010,40.662,59.042,0.004,-0.010,-0.032,19.447,AB,461.011,6w,1442,Rh2Te2-a20799ca37f3,cmr,0.0,285.894
S2Sb2,0.0,8.171,8.174,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,low,1,-16.556,4.896,-,-,-,-,-,4.881,True,unknown,-,10.982,-,AB-164-cd,1.227,1.209,0.333,0.015,0.103,0.0,0.0,z,-,NM,-,True,False,0cb1aa63a812ea231bc8b5a52c8f3fe4,-,-,-,-0.537,-,-,0.0,4,-,1,0.0,tree/AB/SSb/S2Sb2-0cb1aa63a812,TTF,-3m,69cad15d9b022b2eeb3525e1c527afcf,-,-,-,0.0,0.0,0.0,P-3m1,164,3334.315,3390.974,14.085,14.052,0.687,-,-,-,-,-,-,high,51.714,34.885,-0.027,32.227,53.486,-0.072,-0.017,-0.008,20.864,AB,307.64,6w,1443,S2Sb2-0cb1aa63a812,cmr,0.0,237.281
Ta2S2,0.0,10.618,10.621,-,0.000,-,-,-,-,-,0.0,-,0.000,0.0,-,0.0,low,2,-29.59,3.984,-,-,-,-,-,4.822,True,unknown,-,15.079,-,AB-123-eg,2.638,2.471,0.463,-0.838,-0.45,0.0,0.0,z,-,NM,-,True,False,ad0723a61cb19c9ae1fb33441beb4bbd,-,-,-,-3.966,-,-,0.0,4,-,1,-0.0,tree/AB/STa/S2Ta2-ad0723a61cb1,TTF,4/mmm,9afa880487fb2806cf78b59290dc0773,-,-,-,0.0,0.0,0.0,P4/mmm,123,4286.777,4275.599,9.847,9.862,0.432,-,-,-,-,-,-,high,86.211,62.228,0.000,62.646,85.762,0.000,0.000,0.000,115.490,AB,426.016,6w,1444,S2Ta2-ad0723a61cb1,cmr,-0.001,267.467
V2S2,0.214,0.000,0.000,0.366,0.642,1.165,10.839,-0.832,-0.158,-0.081,0.326,0.366,0.667,0.349,0.393,0.227,low,2,-26.916,4.098,-0.564,5.578,-1.045,-0.524,-0.723,5.036,True,unknown,-,10.788,Trivial,AB-187-hi,0.0,0.0,0.534,-0.939,-0.428,0.0,0.0,z,-,NM,-,False,False,605c732d5111ed5deb77fb0e09b1d008,-,-,-,-0.872,-,-,0.0,4,-,1,-0.0,tree/AB/SV/S2V2-605c732d5111,TTF,-6m2,a67b83ce03620eaa2c2f9e4648fa188d,-,-,-,0.0,0.0,0.0,P-6m2,187,3764.935,3765.926,24.184,24.184,0.436,1.410,1.409,0.009,25.594,25.592,0.446,high,36.220,20.929,0.027,20.679,36.240,0.028,0.000,0.000,16.369,AB,166.003,6w,1445,S2V2-605c732d5111,cmr,-0.0,206.939
AsI2,0.0,-,-,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,low,1,-7.159,3.061,-,-,-,-,-,4.229,True,unknown,-,17.371,-,AB2-164-bd,2.324,2.495,0.342,-1.168,0.154,0.0,0.0,z,-,NM,-,True,False,fb19ab0cec8bea3b649ff473813b649c,-,-,-,-6.057,-,-,0.0,3,-,1,0.0,tree/AB2/AsI2/AsI2-fb19ab0cec8b,TTF,-3m,3da32c73a1242411addac3a50d7ee991,-,-,-,0.0,0.0,0.0,P-3m1,164,,,-,-,-,-,-,-,-,-,-,low,-129.022,147.952,-0.014,111.342,-83.309,0.034,-0.000,-0.000,-150.385,AB2,328.731,6w,1454,AsI2-fb19ab0cec8b,cmr,0.0,314.892
Sb2Se2,0.0,6.491,6.491,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,low,1,-14.856,2.565,-,-,-,-,-,4.873,True,unknown,-,31.65,-,AB-123-bd,4.69,4.587,0.45,-2.307,0.231,0.0,0.0,z,-,NM,-,True,False,c0121d92a20cbad6022a64f5803bbe96,-,-,-,-4.412,-,-,0.0,4,-,1,0.0,tree/AB/SbSe/Sb2Se2-c0121d92a20c,TTF,4/mmm,3787b2c5410a911a68256e9c2142a9f7,-,-,-,0.0,0.0,0.0,P4/mmm,123,5416.451,5416.451,22.211,22.211,0.227,-,-,-,-,-,-,high,61.794,20.438,0.000,20.438,61.794,0.000,0.000,0.000,22.737,AB,401.462,6w,1446,Sb2Se2-c0121d92a20c,cmr,0.0,474.755
Se2Si2,0.0,12.721,12.721,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,low,1,-15.869,2.329,-,-,-,-,-,4.395,True,unknown,-,26.602,-,AB-123-bd,3.569,3.617,0.811,-2.066,0.474,0.0,0.0,z,-,NM,-,True,False,c14c242b8e4b26b96d527d92f58af921,-,-,-,-4.563,-,-,0.0,4,-,1,0.0,tree/AB/SeSi/Se2Si2-c14c242b8e4b,TTF,4/mmm,4884f4aad26285aa78fc4d0213209eeb,-,-,-,0.0,0.0,0.0,P4/mmm,123,-,-,4.641,4.641,0.218,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AB,214.112,6w,1447,Se2Si2-c14c242b8e4b,cmr,0.0,399.026
Tl2Se2,0.494,0.000,0.000,1.322,0.891,0.152,0.152,-1.421,-1.420,-1.435,0.549,1.374,0.944,0.625,0.545,0.543,high,3,-12.747,3.927,-2.581,-1.581,-1.915,-2.742,-2.326,5.595,True,unknown,-,15.442,Trivial,AB-187-hi,0.0,0.0,0.076,-1.668,-0.196,0.0,0.0,z,-,NM,-,False,False,625697b299d141ae971c8f9d9418daf1,-,-,-,-0.000,-,-,0.0,4,-,1,-0.0,tree/AB/SeTl/Se2Tl2-625697b299d1,TTF,-6m2,a7e27b92b80cb69a743215ea233db98d,-,-,-,0.0,0.0,0.0,P-6m2,187,2459.726,2458.191,5.922,5.922,0.589,4.211,4.215,0.023,10.134,10.138,0.612,high,36.870,11.298,0.002,11.445,36.824,0.003,0.000,0.000,27.504,AB,566.702,6w,1448,Se2Tl2-625697b299d1,cmr,-0.0,316.077
Zr2Se2,0.0,8.980,9.128,-,0.000,-,-,-,-,-,0.0,-,0.000,0.0,-,0.0,low,2,-25.152,3.747,-,-,-,-,-,4.952,True,unknown,-,17.761,-,AB-123-eg,2.153,2.101,0.317,-1.205,-0.845,0.0,0.0,z,-,NM,-,True,False,57b3bf262ba1738d8a01786d825ffdd1,-,-,-,-0.945,-,-,0.0,4,-,1,-0.0,tree/AB/SeZr/Se2Zr2-57b3bf262ba1,TTF,4/mmm,a69c0d4b00e8bf6c47d11c0aa70da501,-,-,-,0.0,0.0,0.0,P4/mmm,123,4244.595,4258.072,9.798,9.771,0.636,-,-,-,-,-,-,high,57.337,34.851,0.000,34.430,57.702,0.000,0.000,0.000,64.286,AB,340.39,6w,1449,Se2Zr2-57b3bf262ba1,cmr,-0.0,318.571
Ti2Te2,0.0,4.158,4.247,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,high,2,-21.568,3.916,-,-,-,-,-,4.094,True,unknown,-0.003,15.352,-,AB-164-d,2.927,2.9,0.262,-0.178,-0.445,0.065,0.065,y,2.115,FM,-,True,True,b3dbe81af5e4f74012eeacc7728d8cfc,-,-,0.500,-0.000,-,73.315,0.0,4,3,2,-0.0,tree/AB/TeTi/Te2Ti2-b3dbe81af5e4,TTF,-3m,8c61a3bfad3f36587727d9f28ea49b32,-,-,0,-725827.712,-725827.713,-725827.647,P-3m1,164,2949.044,2968.696,29.600,28.759,0.495,-,-,-,-,-,-,high,33.012,27.756,-0.008,29.046,33.453,-0.010,-0.008,-0.013,4.732,AB,350.934,6w,1450,Te2Ti2-b3dbe81af5e4,cmr,-0.0,289.475
W2Te2,0.0,7.083,7.083,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,low,1,-25.701,4.072,-,-,-,-,-,4.544,True,unknown,-,16.948,-,AB-164-cd,3.368,3.004,1.021,-0.473,0.92,0.0,0.0,z,-,NM,-,True,False,9ea4f3dfa067fcdb49498f8834b0ee97,-,-,-,-0.299,-,-,0.0,4,-,1,-0.0,tree/AB/TeW/Te2W2-9ea4f3dfa067,TTF,-3m,1b2476c795e29787408ebdac32a2c6df,-,-,-,0.0,0.0,0.0,P-3m1,164,2387.620,2388.782,42.354,42.018,0.463,-,-,-,-,-,-,low,34.790,42.931,-0.008,43.000,34.824,0.002,-0.014,0.008,-7.584,AB,622.88,6w,1451,Te2W2-9ea4f3dfa067,cmr,-0.0,321.793
AgCl2,0.0,3.188,3.188,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,low,3,-7.269,2.85,-,-,-,-,-,7.089,True,unknown,0.040,12.918,-,AB2-164-bd,8.43,8.496,0.046,-4.239,-0.286,-0.049,-0.047,z,0.975,FM,-,True,True,cd8d815e268da27dfbbdafbb2efcb10c,-,-,0.500,-2.597,-,23.345,0.0,3,6,2,0.0,tree/AB2/AgCl2/AgCl2-cd8d815e268d,TTF,-3m,9656d13cd117a8345e09b74b1e16bceb,-,-,0,-564031.2,-564031.201,-564031.248,P-3m1,164,,,113.178,113.178,0.384,-,-,-,-,-,-,low,-94.854,124.159,-0.861,83.718,-61.901,-2.143,-0.000,0.000,-229.310,AB2,178.768,6w,1452,AgCl2-cd8d815e268d,cmr,0.0,229.529
